ID_Pedido,Fecha,ID_Cliente,Pais,Categoria,Producto,Precio_Unitario,Cantidad,Costo_Envio,Canal_Venta,Puntuacion_Satisfaccion
ORD-1000,2025-04-13,CLI-371,España,Tecnología,Auriculares Noise-Cancelling,223.53,1,16.27,Web,4
ORD-1001,2025-12-15,CLI-475,España,Estilo de Vida,Mochila Ergonómica,236.28,2,6.76,App,4
ORD-1002,2025-09-28,CLI-476,España,Tecnología,Smartwatch Series Z,901.33,1,55.96,Tienda Física,2
ORD-1003,2025-04-17,CLI-443,Chile,Estilo de Vida,Silla Gaming X,288.01,1,10.18,App,5
ORD-1004,2025-03-13,CLI-342,Argentina,Tecnología,Monitor 4K Curved,1188.64,1,71.87,Web,3
ORD-1005,2025-07-08,CLI-153,Argentina,Tecnología,Laptop Pro 15,199.29,1,18.81,Tienda Física,5
ORD-1006,2025-01-21,CLI-244,México,Estilo de Vida,Mochila Ergonómica,167.52,1,8.38,Web,4
ORD-1007,2025-04-13,CLI-204,México,Tecnología,Auriculares Noise-Cancelling,385.66,1,26.52,App,2
ORD-1008,2025-05-02,CLI-360,Argentina,Tecnología,Auriculares Noise-Cancelling,285.99,3,28.19,Tienda Física,5
ORD-1009,2025-08-03,CLI-415,México,Estilo de Vida,Botella Térmica Inteligente,137.32,1,6.35,App,2
ORD-1010,2025-11-27,CLI-139,Chile,Tecnología,Smartwatch Series Z,229.94,3,25.01,App,4
ORD-1011,2025-03-29,CLI-403,España,Estilo de Vida,Lámpara LED Escritorio,262.74,1,9.61,Tienda Física,3
ORD-1012,2025-04-10,CLI-144,España,Estilo de Vida,Lámpara LED Escritorio,90.64,1,11.37,App,5
ORD-1013,2025-12-26,CLI-305,España,Estilo de Vida,Lámpara LED Escritorio,266.74,3,3.05,App,5
ORD-1014,2025-06-01,CLI-287,Colombia,Estilo de Vida,Silla Gaming X,26.76,1,5.58,Tienda Física,3
ORD-1015,2025-05-11,CLI-159,Chile,Tecnología,Monitor 4K Curved,968.84,2,54.51,App,4
ORD-1016,2025-05-30,CLI-493,España,Tecnología,Monitor 4K Curved,257.64,1,27.25,Web,5
ORD-1017,2025-11-05,CLI-480,Colombia,Tecnología,Laptop Pro 15,228.43,4,24.95,Tienda Física,2
ORD-1018,2025-09-15,CLI-325,Colombia,Tecnología,Monitor 4K Curved,173.23,1,16.9,App,4
ORD-1019,2025-12-10,CLI-183,España,Estilo de Vida,Mochila Ergonómica,53.1,2,10.69,App,2
ORD-1020,2025-10-21,CLI-183,Chile,Estilo de Vida,Lámpara LED Escritorio,263.71,1,11.67,App,5
