ID_Pedido,Fecha,ID_Cliente,Pais,Categoria,Producto,Precio_Unitario,Cantidad,Costo_Envio,Canal_Venta,Puntuacion_Satisfaccion,Ingresos_Brutos,Ingreso_Neto_Logistico,Coste_Envio_Relativo,Anio,Mes_Numero,Mes,Trimestre,Nivel_Satisfaccion,Indicador_Satisfaccion_Alta
ORD-1000,2025-04-13,CLI-371,España,Tecnología,Auriculares Noise-Cancelling,223.53,1,16.27,Web,4,223.53,207.26,0.072787,2025,4,2025-04,T2,Alta,1
ORD-1001,2025-12-15,CLI-475,España,Estilo de Vida,Mochila Ergonómica,236.28,2,6.76,App,4,472.56,465.8,0.014305,2025,12,2025-12,T4,Alta,1
ORD-1002,2025-09-28,CLI-476,España,Tecnología,Smartwatch Series Z,901.33,1,55.96,Tienda Física,2,901.33,845.37,0.062086,2025,9,2025-09,T3,Baja,0
ORD-1003,2025-04-17,CLI-443,Chile,Estilo de Vida,Silla Gaming X,288.01,1,10.18,App,5,288.01,277.83,0.035346,2025,4,2025-04,T2,Alta,1
ORD-1004,2025-03-13,CLI-342,Argentina,Tecnología,Monitor 4K Curved,1188.64,1,71.87,Web,3,1188.64,1116.77,0.060464,2025,3,2025-03,T1,Media,0
ORD-1005,2025-07-08,CLI-153,Argentina,Tecnología,Laptop Pro 15,199.29,1,18.81,Tienda Física,5,199.29,180.48,0.094385,2025,7,2025-07,T3,Alta,1
ORD-1006,2025-01-21,CLI-244,México,Estilo de Vida,Mochila Ergonómica,167.52,1,8.38,Web,4,167.52,159.14,0.050024,2025,1,2025-01,T1,Alta,1
ORD-1007,2025-04-13,CLI-204,México,Tecnología,Auriculares Noise-Cancelling,385.66,1,26.52,App,2,385.66,359.14,0.068765,2025,4,2025-04,T2,Baja,0
ORD-1008,2025-05-02,CLI-360,Argentina,Tecnología,Auriculares Noise-Cancelling,285.99,3,28.19,Tienda Física,5,857.97,829.78,0.032857,2025,5,2025-05,T2,Alta,1
ORD-1009,2025-08-03,CLI-415,México,Estilo de Vida,Botella Térmica Inteligente,137.32,1,6.35,App,2,137.32,130.97,0.046242,2025,8,2025-08,T3,Baja,0
ORD-1010,2025-11-27,CLI-139,Chile,Tecnología,Smartwatch Series Z,229.94,3,25.01,App,4,689.82,664.81,0.036256,2025,11,2025-11,T4,Alta,1
ORD-1011,2025-03-29,CLI-403,España,Estilo de Vida,Lámpara LED Escritorio,262.74,1,9.61,Tienda Física,3,262.74,253.13,0.036576,2025,3,2025-03,T1,Media,0
ORD-1012,2025-04-10,CLI-144,España,Estilo de Vida,Lámpara LED Escritorio,90.64,1,11.37,App,5,90.64,79.27,0.125441,2025,4,2025-04,T2,Alta,1
ORD-1013,2025-12-26,CLI-305,España,Estilo de Vida,Lámpara LED Escritorio,266.74,3,3.05,App,5,800.22,797.17,0.003811,2025,12,2025-12,T4,Alta,1
ORD-1014,2025-06-01,CLI-287,Colombia,Estilo de Vida,Silla Gaming X,26.76,1,5.58,Tienda Física,3,26.76,21.18,0.20852,2025,6,2025-06,T2,Media,0
ORD-1015,2025-05-11,CLI-159,Chile,Tecnología,Monitor 4K Curved,968.84,2,54.51,App,4,1937.68,1883.17,0.028132,2025,5,2025-05,T2,Alta,1
ORD-1016,2025-05-30,CLI-493,España,Tecnología,Monitor 4K Curved,257.64,1,27.25,Web,5,257.64,230.39,0.105768,2025,5,2025-05,T2,Alta,1
ORD-1017,2025-11-05,CLI-480,Colombia,Tecnología,Laptop Pro 15,228.43,4,24.95,Tienda Física,2,913.72,888.77,0.027306,2025,11,2025-11,T4,Baja,0
ORD-1018,2025-09-15,CLI-325,Colombia,Tecnología,Monitor 4K Curved,173.23,1,16.9,App,4,173.23,156.33,0.097558,2025,9,2025-09,T3,Alta,1
ORD-1019,2025-12-10,CLI-183,España,Estilo de Vida,Mochila Ergonómica,53.1,2,10.69,App,2,106.2,95.51,0.100659,2025,12,2025-12,T4,Baja,0
ORD-1020,2025-10-21,CLI-183,Chile,Estilo de Vida,Lámpara LED Escritorio,263.71,1,11.67,App,5,263.71,252.04,0.044253,2025,10,2025-10,T4,Alta,1
ORD-1021,2025-07-11,CLI-380,Colombia,Tecnología,Smartphone Alpha,614.41,1,38.84,App,3,614.41,575.57,0.063215,2025,7,2025-07,T3,Media,0
ORD-1022,2025-10-04,CLI-178,Argentina,Estilo de Vida,Botella Térmica Inteligente,262.7,3,7.26,Web,5,788.1,780.84,0.009212,2025,10,2025-10,T4,Alta,1
ORD-1023,2025-06-10,CLI-145,Chile,Tecnología,Laptop Pro 15,949.08,1,58.72,Web,5,949.08,890.36,0.06187,2025,6,2025-06,T2,Alta,1
ORD-1024,2025-11-10,CLI-216,España,Tecnología,Smartphone Alpha,787.67,3,46.86,Web,4,2363.01,2316.15,0.019831,2025,11,2025-11,T4,Alta,1
ORD-1025,2025-01-22,CLI-265,España,Tecnología,Auriculares Noise-Cancelling,1183.57,1,65.67,App,5,1183.57,1117.9,0.055485,2025,1,2025-01,T1,Alta,1
ORD-1026,2025-09-10,CLI-175,Colombia,Tecnología,Monitor 4K Curved,944.91,3,61.77,App,2,2834.73,2772.96,0.02179,2025,9,2025-09,T3,Baja,0
ORD-1027,2025-08-24,CLI-176,México,Estilo de Vida,Silla Gaming X,218.18,1,8.04,Web,2,218.18,210.14,0.03685,2025,8,2025-08,T3,Baja,0
ORD-1028,2025-12-11,CLI-416,España,Tecnología,Laptop Pro 15,1176.34,2,65.83,Web,2,2352.68,2286.85,0.027981,2025,12,2025-12,T4,Baja,0
ORD-1029,2025-02-18,CLI-417,Argentina,Estilo de Vida,Mochila Ergonómica,282.46,1,3.47,App,5,282.46,278.99,0.012285,2025,2,2025-02,T1,Alta,1
ORD-1030,2025-02-28,CLI-226,Argentina,Estilo de Vida,Lámpara LED Escritorio,158.21,1,8.95,App,4,158.21,149.26,0.05657,2025,2,2025-02,T1,Alta,1
ORD-1031,2025-06-19,CLI-246,México,Tecnología,Laptop Pro 15,610.54,1,42.78,App,5,610.54,567.76,0.070069,2025,6,2025-06,T2,Alta,1
ORD-1032,2025-07-07,CLI-310,España,Estilo de Vida,Silla Gaming X,229.68,1,10.85,Web,1,229.68,218.83,0.04724,2025,7,2025-07,T3,Baja,0
ORD-1033,2025-09-28,CLI-490,México,Tecnología,Smartphone Alpha,667.94,1,39.21,Web,3,667.94,628.73,0.058703,2025,9,2025-09,T3,Media,0
ORD-1034,2025-07-09,CLI-251,España,Tecnología,Monitor 4K Curved,913.53,1,58.1,Web,5,913.53,855.43,0.063599,2025,7,2025-07,T3,Alta,1
ORD-1035,2025-06-24,CLI-361,Argentina,Tecnología,Auriculares Noise-Cancelling,757.61,2,47.27,Web,5,1515.22,1467.95,0.031197,2025,6,2025-06,T2,Alta,1
ORD-1036,2025-02-20,CLI-454,Colombia,Estilo de Vida,Lámpara LED Escritorio,187.9,1,11.21,App,5,187.9,176.69,0.059659,2025,2,2025-02,T1,Alta,1
ORD-1037,2025-12-30,CLI-140,México,Estilo de Vida,Silla Gaming X,274.98,3,4.62,App,2,824.94,820.32,0.0056,2025,12,2025-12,T4,Baja,0
ORD-1038,2025-02-24,CLI-444,España,Tecnología,Smartwatch Series Z,575.27,1,39.69,App,5,575.27,535.58,0.068994,2025,2,2025-02,T1,Alta,1
ORD-1039,2025-09-01,CLI-386,España,Estilo de Vida,Botella Térmica Inteligente,260.95,1,3.08,App,3,260.95,257.87,0.011803,2025,9,2025-09,T3,Media,0
ORD-1040,2025-11-16,CLI-270,México,Tecnología,Auriculares Noise-Cancelling,614.13,3,39.02,Tienda Física,3,1842.39,1803.37,0.021179,2025,11,2025-11,T4,Media,0
ORD-1041,2025-05-11,CLI-219,Colombia,Estilo de Vida,Mochila Ergonómica,70.94,1,4.51,App,4,70.94,66.43,0.063575,2025,5,2025-05,T2,Alta,1
ORD-1042,2025-11-03,CLI-119,España,Estilo de Vida,Silla Gaming X,262.66,3,8.02,Web,4,787.98,779.96,0.010178,2025,11,2025-11,T4,Alta,1
ORD-1043,2025-05-15,CLI-375,México,Tecnología,Smartphone Alpha,278.22,3,23.43,Web,1,834.66,811.23,0.028071,2025,5,2025-05,T2,Baja,0
ORD-1044,2025-01-21,CLI-277,México,Estilo de Vida,Lámpara LED Escritorio,26.36,1,11.57,Tienda Física,4,26.36,14.79,0.438923,2025,1,2025-01,T1,Alta,1
ORD-1045,2025-11-25,CLI-228,Colombia,Tecnología,Smartwatch Series Z,282.03,3,20.43,Web,5,846.09,825.66,0.024146,2025,11,2025-11,T4,Alta,1
ORD-1046,2025-06-16,CLI-213,Argentina,Estilo de Vida,Set de Teclado Mecánico,147.03,1,10.81,App,5,147.03,136.22,0.073522,2025,6,2025-06,T2,Alta,1
ORD-1047,2025-10-01,CLI-246,Colombia,Tecnología,Laptop Pro 15,1062.35,1,63.82,Tienda Física,5,1062.35,998.53,0.060074,2025,10,2025-10,T4,Alta,1
ORD-1048,2025-03-30,CLI-260,Colombia,Estilo de Vida,Set de Teclado Mecánico,208.42,1,8.19,Web,4,208.42,200.23,0.039296,2025,3,2025-03,T1,Alta,1
ORD-1049,2025-11-12,CLI-118,Argentina,Tecnología,Monitor 4K Curved,971.5,4,59.25,App,5,3886.0,3826.75,0.015247,2025,11,2025-11,T4,Alta,1
ORD-1050,2025-01-14,CLI-312,España,Estilo de Vida,Botella Térmica Inteligente,266.42,2,5.85,Web,5,532.84,526.99,0.010979,2025,1,2025-01,T1,Alta,1
ORD-1051,2025-08-30,CLI-390,México,Tecnología,Smartwatch Series Z,790.32,1,50.15,App,4,790.32,740.17,0.063455,2025,8,2025-08,T3,Alta,1
